Wells,Cr,δ53Cr,Cl-,ClO3,ClO4,Cl36,3H,δ2H,δ18O,NO3,δ15N,δ18O-NO3,SO4,δ34S-SO4,δ18O-SO4,I129,Dioxane,Acetam,Caffe,Sulfame
R-14_1,5.72,,1.641818182,,0.31,,0.196983333,-77.68375,-10.8463,0.328416667,4.560726667,-5.083086667,1.91,,,,10.25,,,
R-1,5.748461538,1.356666667,1.871666667,,0.349076923,13563.57,0.090133333,-75.7409,-10.725,0.349923077,4.333775,-3.307995,2.400833333,6.75,4.73,,10.7,,,
R-33_1,5.617857143,,2.271428571,4.00E-04,0.397357143,35288.28,0.460142857,-74.8398,-10.739075,0.589214286,4.2904375,-1.618871667,3.253571429,,,116478,10.25714286,,,
R-33_2,6.257857143,1.34,1.969285714,,0.358714286,,0.23756,-75.6226,-10.74545,0.341214286,4.0752425,-2.853533333,2.399285714,,,,10.34285714,,,
R-15,12.14388889,1.02,4.192941176,0.0037175,7.740588235,115021.08,29.67045,,,2.208235294,4.22383,-1.9393,6.525294118,8.25,2.75,41602,10.775,1,1,1.1
R-62,150.5714286,1,7.954615385,0.0021375,0.791642857,291658.6633,7.679333333,-74.02623875,-10.72428571,1.191928571,8.8594675,-1.367052,13.85428571,3.7,4.45,268572,10.77,0.37,1.4,3.5
R-61_1,14.41473684,1.29,3.136,,7.087333333,,23.213,-76.655,-10.9522,1.6878,5.432555,-1.2249514,5.152666667,5.866666667,-0.45,,10.2,,,
R-43_1,54.23952381,1.004444444,6.392727273,0.000536667,0.932869565,155462.77,0.0723,-76.05502857,-10.63868,5.443181818,4.649315385,-1.87166,12.93,6.4125,3.376,94523.5,10.875,1,1,1.6
R-43_2,5.492727273,1.621,4.008636364,5.35E-04,0.52526087,,0.24958,-73.73103333,-10.45118333,1.432636364,4.571142727,-2.614162857,5.184090909,5.55,3.3,,10.55,,,
R-42,899.6818182,1.0125,40.44,0.0125625,1.27952381,238390.27,234.059,-69.6175,-9.731666667,5.54735,10.436095,-0.629666429,75.675,4.7,7.3,1067947,8.748,2,1.2,60
R-28,389.6842105,0.985,34.02631579,0.01435,0.989857143,164175.975,190.34775,-69.41,-10.16,3.87,10.99387,-0.842377,49.22631579,3.466666667,6.225,3368699.5,10,2.7,1,41
R-50_1,90.30833333,1.037,7.317391304,0.002881667,0.53712,100675.0775,19.9802,-76.46,-10.87817778,1.497416667,6.446432857,-1.3144645,11.04565217,4.5,2.65,140371.3333,10.78571429,0.61,2.8,9
R-50_2,4.895454545,1.186,2.144347826,0.001,0.320583333,,1.246929412,-76.1,-10.92354286,0.54426087,4.027404444,-3.646355,2.824782609,6.8,1.7,,10.54444444,,,
R-11,21.84782609,1.235,5.026521739,0.00086,0.880416667,53869.49,4.700755556,-73.80936667,-10.176895,5.353043478,5.09168,-2.73896,11.9073913,7.1,0.5,56522.5,10.6,,,
R-44_1,15.23157895,1.443333333,2.288421053,5.00E-04,0.417888889,29344.06,1.118066667,-77.6202,-11.141525,0.999684211,4.224538333,-2.502796,3.784210526,6.7,2.9,100696,10.725,,,
R-44_2,6.078947368,1.243333333,2.284210526,0.001,0.344388889,,0.21406,-77.2064,-10.815175,0.630342105,4.298361667,-2.899786,3.337894737,7.7,1.3,,11,,,
R-45_1,22.86470588,1.118,4.036470588,0.000535,0.558625,44463.9,2.369466667,-75.3152,-10.471625,2.398588235,4.723442857,-2.777035571,6.225882353,,,160070,10.65,,,
R-45_2,12.22529412,1.269,3.464117647,0.001,0.388875,,1.4288,-74.30275,-10.58025,0.667411765,5.332905714,-3.610115,4.590588235,,,,11.2,,,
